File Name: not saved
Channel 1: 'K25585', 39661 values, raw ADC, no filters.
Channel 2: 'W110 K27098 X axis', 39660 values, raw ADC, no filters.

10	-4
0	-2
1	-2
-5	-2
-10	-2
4	-2
-3	0
-2	-2
-1	-4
-4	-4
-3	-4
-6	-4
-4	-4
-5	-2
-3	-2
-4	-2
-3	0
-4	0
-3	-2
-1	-2
-3	0
-6	-2
-1	-2
-4	-4
-8	-4
8	-4
1	-2
-1	-4
0	-4
1	-2
2	-2
0	-2
1	-2
-2	-2
-4	-4
-7	-4
-3	-4
-5	-4
-3	-4
3	-4
4	-4
5	-4
4	-4
-1	-4
-4	-4
4	-4
9	-4
7	-4
5	-3
3	-3
2	-2
3	-2
4	-2
5	-2
6	-2
4	-2
3	-2
2	-2
1	-3
1	-3
-1	-4
-9	-2
-1	-4
-4	-4
-12	-4
4	-2
-3	-2
0	-4
0	-2
1	-4
2	-4
0	-4
2	-2
-2	-2
0	-2
-1	-2
-1	-2
1	-2
1	-2
1	-2
-2	-2
-10	-2
-3	-2
-3	-2
-8	-2
10	-4
2	-2
3	-2
5	-2
2	-2
6	-4
3	-2
5	-2
4	-4
5	-4
0	-4
0	-4
-3	-2
-2	-4
-1	-2
-2	-2
-7	-2
-2	-4
-6	-2
-11	-2
6	-2
-1	0
0	-2
0	-4
1	-2
3	-2
6	-2
12	-4
15	-2
18	-2
11	-2
5	-2
-2	-2
-5	-2
-7	-2
-12	-2
-15	-2
-5	-4
-7	-4
-10	-4
5	-4
-2	-2
0	-2
-1	-4
-1	-4
-2	-2
-5	-2
-3	-2
-4	-2
-1	-4
-1	-4
0	-4
-1	-4
0	-4
-4	-4
-6	-4
-8	-4
0	-4
-2	-4
-3	-4
12	-4
3	-2
0	-4
0	-4
0	-4
-2	-4
-5	-4
-1	-4
-1	-4
-1	-4
-2	-4
0	-2
-2	-4
0	-4
4	-2
5	-2
0	-2
10	-2
9	-2
3	-2
13	-2
5	-2
4	-2
5	-6
1	-2
0	-2
-1	-2
1	-4
-2	-4
-2	-4
-6	-4
-3	-4
-4	-4
-2	-6
-2	-6
-8	-4
-13	-4
-5	-4
-6	-4
-7	-4
12	-4
4	-4
3	-4
2	-3
-4	-3
-5	-2
-8	-2
-7	-2
-8	-3
-5	-3
-4	-4
-1	-4
6	-4
13	-4
13	-4
11	-4
-1	-6
2	-4
-5	-2
-11	-6
1	-4
-6	-4
-3	-2
-4	-4
-4	-4
0	-4
-2	-4
